Linear Model:
E=0.329169 Y=4.67373 U=3.33518
E=0.326269 Y=4.67137 U=3.36623
E=0.328626 Y=4.67483 U=3.40067
E=0.325171 Y=4.67257 U=3.43145
E=0.327433 Y=4.67668 U=3.46591
E=0.323321 Y=4.67462 U=3.49632
E=0.325383 Y=4.67947 U=3.53072
E=0.32053 Y=4.67772 U=3.56069
E=0.32228 Y=4.68337 U=3.5949
E=0.316631 Y=4.68204 U=3.62435
E=0.317958 Y=4.68851 U=3.65823
E=0.311487 Y=4.68772 U=3.68704
E=0.312281 Y=4.695 U=3.72045
E=0.305 Y=4.69484 U=3.74853
E=0.305159 Y=4.70288 U=3.78128
E=0.297115 Y=4.70345 U=3.80853
E=0.296552 Y=4.71217 U=3.84043
E=0.28783 Y=4.71352 U=3.86676
E=0.286479 Y=4.72281 U=3.89762
E=0.277195 Y=4.72499 U=3.92296
E=0.275014 Y=4.73469 U=3.95259
E=0.265309 Y=4.73771 U=3.97687
E=0.262293 Y=4.74768 U=4.0051
E=0.252321 Y=4.7515 U=4.02825
E=0.248497 Y=4.76158 U=4.05494
E=0.238417 Y=4.76615 U=4.07691
E=0.23385 Y=4.77619 U=4.10195
E=0.223813 Y=4.7814 U=4.12269
E=0.218602 Y=4.79125 U=4.14599
E=0.208745 Y=4.79699 U=4.16548
E=0.203011 Y=4.80655 U=4.18701
E=0.193452 Y=4.81266 U=4.20521
E=0.187335 Y=4.82183 U=4.22498
E=0.17817 Y=4.82818 U=4.24188
E=0.171818 Y=4.83688 U=4.25991
E=0.163117 Y=4.84333 U=4.27551
E=0.156674 Y=4.85151 U=4.29186
E=0.148488 Y=4.85791 U=4.30618
E=0.142086 Y=4.86556 U=4.32093
E=0.134445 Y=4.8718 U=4.334
E=0.1282 Y=4.87888 U=4.34724
E=0.121119 Y=4.88488 U=4.3591
E=0.115125 Y=4.89139 U=4.37094
E=0.108606 Y=4.89707 U=4.38164
E=0.102934 Y=4.90303 U=4.39219
E=0.0969691 Y=4.90833 U=4.4018
E=0.0916681 Y=4.91376 U=4.41116
E=0.0862403 Y=4.91866 U=4.41975
E=0.0813398 Y=4.92357 U=4.42804
E=0.076427 Y=4.92806 U=4.43568
Linear Model:
E=3 Y=2.3976 U=1.2
E=2.6024 Y=1.72357 U=0.44096
E=3.27643 Y=2.3 U=1.09009
E=2.7 Y=2.20664 U=0.984954
E=2.79336 Y=2.63312 U=1.46523
E=2.36688 Y=2.70481 U=1.54596
E=2.29519 Y=3.00314 U=1.88192
E=1.99686 Y=3.12009 U=2.01361
E=1.87991 Y=3.33534 U=2.25602
E=1.66466 Y=3.45698 U=2.39299
E=1.54302 Y=3.61894 U=2.57538
E=1.38106 Y=3.73083 U=2.70139
E=1.26917 Y=3.85687 U=2.84332
E=1.14313 Y=3.95461 U=2.95339
E=1.04539 Y=4.05498 U=3.06642
E=0.945017 Y=4.1382 U=3.16014
E=0.8618 Y=4.2193 U=3.25146
E=0.780703 Y=4.28919 U=3.33017
E=0.710812 Y=4.35529 U=3.40461
E=0.644707 Y=4.41355 U=3.47022
E=0.586448 Y=4.46772 U=3.53121
E=0.532281 Y=4.51608 U=3.58567
E=0.483925 Y=4.5606 U=3.63581
E=0.439404 Y=4.60064 U=3.6809
E=0.399364 Y=4.63729 U=3.72218
E=0.362706 Y=4.6704 U=3.75946
E=0.329597 Y=4.70062 U=3.79349
E=0.299383 Y=4.72797 U=3.82429
E=0.272026 Y=4.75289 U=3.85235
E=0.247109 Y=4.77548 U=3.8778
E=0.224516 Y=4.79604 U=3.90095
E=0.20396 Y=4.81469 U=3.92195
E=0.185306 Y=4.83166 U=3.94105
E=0.168344 Y=4.84706 U=3.9584
E=0.152944 Y=4.86105 U=3.97416
E=0.138947 Y=4.87376 U=3.98847
E=0.126235 Y=4.88532 U=4.00148
E=0.114682 Y=4.89581 U=4.0133
E=0.10419 Y=4.90534 U=4.02404
E=0.094655 Y=4.91401 U=4.03379
E=0.0859947 Y=4.92188 U=4.04265
E=0.078125 Y=4.92902 U=4.0507
E=0.0709772 Y=4.93552 U=4.05802
E=0.0644822 Y=4.94142 U=4.06466
E=0.0585823 Y=4.94678 U=4.0707
E=0.0532217 Y=4.95165 U=4.07618
E=0.0483518 Y=4.95607 U=4.08116
E=0.0439272 Y=4.96009 U=4.08569
E=0.0399079 Y=4.96374 U=4.0898
E=0.0362563 Y=4.96706 U=4.09354
E=0.032939 Y=4.97008 U=4.09693
E=0.0299249 Y=4.97281 U=4.10001
E=0.0271869 Y=4.9753 U=4.10282
E=0.0246992 Y=4.97756 U=4.10536
E=0.0224395 Y=4.97961 U=4.10767
E=0.0203862 Y=4.98148 U=4.10977
E=0.0185208 Y=4.98317 U=4.11168
E=0.0168266 Y=4.98471 U=4.11342
E=0.0152864 Y=4.98611 U=4.11499
E=0.0138884 Y=4.98738 U=4.11642
E=0.0126171 Y=4.98854 U=4.11772
E=0.0114627 Y=4.98959 U=4.1189
